,id,name,income,inhabitants,name_norm,x,y,distance_bank,distance_cafe,distance_clinic,distance_hospital,distance_pharmacy,distance_restaurant,distance_school
25,2408102026,Ponta Negra,2290.69,14658,Ponta Negra,-35.17755278308301,-5.8847061380643115,5643.487827409736,6093.169208033662,7425.44809458668,8189.195426973749,6085.068789911182,5586.018242156663,6771.189582027663
26,2408102028,Igapó,766.03,15508,Igapo,-35.26228768640847,-5.769100862815742,5498.919901382911,9816.989708721134,6785.139207439193,5418.193734395483,5613.317869386662,4373.846487074134,4374.594890300681
27,2408102029,Nossa Senhora da Apresentação,682.01,39920,Nossa Senhora da Apresentacao,-35.27796537448107,-5.746853178083562,8339.105293977336,12838.291179246387,9232.477306538909,8236.961743524054,8463.948875449061,7380.376514566042,7376.7741676741925
28,2408102031,Potengi,989.00,32313,Potengi,-35.24978242141926,-5.754532877811104,5530.845251374525,10548.620759618601,6070.008470186948,5401.626365605422,5666.508703593223,5096.068491478253,5064.4629984771245
29,2408102032,Salinas,455.24,485,Salinas,-35.2302121553828,-5.774837351036699,2445.4842160228923,7680.881949607494,3184.157514813924,2304.0676804267873,2584.0513579313365,2659.910911686008,2596.504208396023
30,2408102033,Lagoa Azul,670.83,30827,Lagoa Azul,-35.259311726434746,-5.723752103625956,8868.35573184487,14111.336328183996,9033.180470869956,8155.403656345414,8644.730611066065,8456.986803634481,8645.041207752296
31,2408102034,Pajuçara,771.79,29531,Pajucara,-35.235805033052294,-5.736528890106767,6199.679684476794,11960.34677102095,6261.4888203509,5284.535269341437,5858.124935773947,5651.955980714525,6032.219834976527
32,2408102035,Redinha,790.51,7436,Redinha,-35.21694616604298,-5.752299864301124,3750.7290601582354,9911.426296229423,3670.477017918177,2595.1077371779998,3259.6756294602937,3035.3044749869537,3333.1310716070107
33,2408102036,Barro Vermelho,3208.73,6359,Barro Vermelho,-35.20867307134749,-5.798517671266402,863.6429407645495,4758.736662591545,663.851207122546,718.0588077699316,785.07708465604,990.7112188129851,993.6562281054502
34,2408102037,Nossa Senhora de Nazaré,1137.23,9322,Nossa Senhora de Nazare,-35.231439123695814,-5.817207951355833,2093.9766547566396,3490.5348292924155,2785.97105864675,937.1589690721545,568.1378808433996,1511.7138814848745,809.8596180161942
35,2408102038,Planalto,765.64,15723,Planalto,-35.25607676571514,-5.85209842803685,5197.210832184254,5109.18169489247,6233.747654496333,3810.635052268051,4382.278020971454,3870.166804463472,4056.1360942292436
